2017,549943.4620155039
1998,1991826.984025974
2004,1611226.2987327822
1993,3070917.176734694
2011,594702.0746099291
2010,664353.6982079885
2012,471226.9931972058
2007,1284259.7143740011
2001,1547643.9707009345
1995,1396047.603152174
1992,1359049.9724390244
1997,1559154.9398119121
2014,261433.9290964355
1991,1953642.558028169
2006,1134829.8690294302
1990,963224.68
1994,1735112.671707317
2002,1652405.7789497718
2009,979548.3768038956
2008,929828.1373894046
2003,1669600.9378902954
1996,1447401.4860135135
1999,1467340.5838376386
2016,210728.99907258063
2005,1262488.0105019305
2000,1342187.091288161
2015,272440.3457954545
2013,384900.9997906855
