2017,129
1998,924
2004,1089
1993,196
2011,3384
2010,2779
2012,3722
2007,1877
2001,856
1995,368
1992,164
1997,638
2014,3619
1991,142
2006,1597
1990,12
1994,246
2002,876
2009,2259
2008,1831
2003,948
1996,592
1999,1626
2016,992
2005,1295
2000,1343
2015,2464
2013,3822
